run,subrun,beam_type,is_cosmic,t_start,t_end,t_start_unix,t_end_unix,hours,events,t_source
run_68,cos_004_r530_c00,cosmics,True,2026-07-23 15:48:00,2026-07-23 15:58:00,1784814480.0,1784815080.0,0.1666666666666666,2,runctrl
run_68,cos_005_r520_c00,cosmics,True,2026-07-23 16:08:00,2026-07-23 16:18:00,1784815680.0,1784816280.0,0.1666666666666666,10229,runctrl
run_69,m090On_new_a_000,neutrons,False,2026-07-23 17:27:00,2026-07-23 17:31:00,1784820420.0,1784820660.0,0.0666666666666666,3141,runctrl
run_69,m090On_old_a_001,neutrons,False,2026-07-23 17:32:00,2026-07-23 17:36:00,1784820720.0,1784820960.0,0.0666666666666666,3486,runctrl
run_69,m090On_new_b_002,neutrons,False,2026-07-23 17:36:00,2026-07-23 17:40:00,1784820960.0,1784821200.0,0.0666666666666666,3411,runctrl
run_69,m090On_old_b_003,neutrons,False,2026-07-23 17:41:00,2026-07-23 17:45:00,1784821260.0,1784821500.0,0.0666666666666666,3647,runctrl
run_69,m090On_n_ipd2_004,neutrons,False,2026-07-23 17:45:00,2026-07-23 17:49:00,1784821500.0,1784821740.0,0.0666666666666666,326,runctrl
run_69,m090On_new_c_005,neutrons,False,2026-07-23 17:49:00,2026-07-23 17:53:00,1784821740.0,1784821980.0,0.0666666666666666,2957,runctrl
run_70,m200On_mip2p00_000,neutrons,False,2026-07-23 17:56:00,2026-07-23 18:00:00,1784822160.0,1784822400.0,0.0666666666666666,2254,runctrl
run_70,m141On_mip1p41_001,neutrons,False,2026-07-23 18:01:00,2026-07-23 18:05:00,1784822460.0,1784822700.0,0.0666666666666666,4607,runctrl
run_70,m113On_mip1p13_002,neutrons,False,2026-07-23 18:05:00,2026-07-23 18:09:00,1784822700.0,1784822940.0,0.0666666666666666,5481,runctrl
run_70,m090On_mip0p90_003,neutrons,False,2026-07-23 18:10:00,2026-07-23 18:14:00,1784823000.0,1784823240.0,0.0666666666666666,5893,runctrl
run_70,m070On_mip0p70_004,neutrons,False,2026-07-23 18:14:00,2026-07-23 18:18:00,1784823240.0,1784823480.0,0.0666666666666666,6253,runctrl
run_70,m050On_mip0p50_005,neutrons,False,2026-07-23 18:19:00,2026-07-23 18:23:00,1784823540.0,1784823780.0,0.0666666666666666,6495,runctrl
run_70,m141On_mip1p41_006,neutrons,False,2026-07-23 18:23:00,2026-07-23 18:27:00,1784823780.0,1784824020.0,0.0666666666666666,4643,runctrl
run_71,acmeshOn_dr700_ri0_0000,neutrons,False,2026-07-23 18:46:00,2026-07-23 19:01:00,1784825160.0,1784826060.0,0.25,17037,runctrl
run_71,acmeshOff_dr700_ri0_0001,neutrons,False,2026-07-23 19:01:00,2026-07-23 19:16:00,1784826060.0,1784826960.0,0.25,17096,runctrl
run_71,acmeshOn_dr700_ri1_0002,neutrons,False,2026-07-23 19:17:00,2026-07-23 19:32:00,1784827020.0,1784827920.0,0.25,17116,runctrl
run_71,acmeshOff_dr700_ri1_0003,neutrons,False,2026-07-23 19:32:00,2026-07-23 19:47:00,1784827920.0,1784828820.0,0.25,16882,runctrl
run_71,acmeshOn_dr700_ri2_0004,neutrons,False,2026-07-23 19:48:00,2026-07-23 20:03:00,1784828880.0,1784829780.0,0.25,16911,runctrl
run_71,acmeshOff_dr700_ri2_0005,neutrons,False,2026-07-23 20:03:00,2026-07-23 20:18:00,1784829780.0,1784830680.0,0.25,17003,runctrl
run_71,acmeshOn_dr700_ri3_0006,neutrons,False,2026-07-23 20:19:00,2026-07-23 20:34:00,1784830740.0,1784831640.0,0.25,16987,runctrl
