Dream_ID,Channel,Threshold_Decimal,Threshold_Hex
2,12,288,0x120
2,13,289,0x121
2,14,289,0x121
2,15,288,0x120
2,16,290,0x122
2,17,289,0x121
2,18,288,0x120
2,19,289,0x121
2,20,290,0x122
2,21,289,0x121
2,22,289,0x121
2,23,289,0x121
2,24,289,0x121
2,25,288,0x120
2,26,290,0x122
2,27,290,0x122
2,28,290,0x122
2,29,290,0x122
2,30,289,0x121
2,31,289,0x121
2,32,289,0x121
2,33,289,0x121
2,34,290,0x122
2,35,290,0x122
2,36,289,0x121
2,37,289,0x121
2,38,289,0x121
2,39,290,0x122
2,40,288,0x120
2,41,290,0x122
2,42,289,0x121
2,43,289,0x121
2,44,289,0x121
2,45,290,0x122
2,46,289,0x121
2,47,289,0x121
2,48,288,0x120
2,49,290,0x122
2,50,291,0x123
2,51,296,0x128
2,52,296,0x128
2,53,297,0x129
2,54,298,0x12a
2,55,301,0x12d
2,56,302,0x12e
2,57,304,0x130
2,58,306,0x132
2,59,293,0x125
2,60,305,0x131
2,61,307,0x133
2,62,307,0x133
2,63,300,0x12c
3,0,290,0x122
3,1,294,0x126
3,2,291,0x123
3,3,290,0x122
3,4,290,0x122
3,5,290,0x122
3,6,291,0x123
3,7,290,0x122
3,8,291,0x123
3,9,290,0x122
3,10,290,0x122
3,11,290,0x122
3,12,290,0x122
3,13,291,0x123
3,14,290,0x122
3,15,291,0x123
3,16,291,0x123
3,17,290,0x122
3,18,290,0x122
3,19,291,0x123
3,20,292,0x124
3,21,292,0x124
3,22,291,0x123
3,23,291,0x123
3,24,290,0x122
3,25,290,0x122
3,26,291,0x123
3,27,291,0x123
3,28,290,0x122
3,29,290,0x122
3,30,291,0x123
3,31,291,0x123
3,32,290,0x122
3,33,290,0x122
3,34,291,0x123
3,35,291,0x123
3,36,292,0x124
3,37,292,0x124
3,38,291,0x123
3,39,290,0x122
3,40,290,0x122
3,41,291,0x123
3,42,291,0x123
3,43,291,0x123
3,44,291,0x123
3,45,290,0x122
3,46,291,0x123
3,47,290,0x122
3,48,290,0x122
3,49,290,0x122
3,50,290,0x122
3,51,290,0x122
3,52,290,0x122
3,53,289,0x121
3,54,289,0x121
3,55,290,0x122
3,56,290,0x122
3,57,290,0x122
3,58,293,0x125
3,59,290,0x122
3,60,290,0x122
3,61,290,0x122
3,62,292,0x124
3,63,292,0x124
4,0,290,0x122
4,1,290,0x122
4,2,290,0x122
4,3,289,0x121
4,4,288,0x120
4,5,289,0x121
4,6,289,0x121
4,7,289,0x121
4,8,289,0x121
4,9,289,0x121
4,10,289,0x121
4,11,289,0x121
4,12,289,0x121
4,13,289,0x121
4,14,289,0x121
4,15,290,0x122
4,16,290,0x122
4,17,290,0x122
4,18,290,0x122
4,19,291,0x123
4,20,290,0x122
4,21,290,0x122
4,22,290,0x122
4,23,291,0x123
4,24,289,0x121
4,25,290,0x122
4,26,290,0x122
4,27,289,0x121
4,28,290,0x122
4,29,290,0x122
4,30,289,0x121
4,31,290,0x122
4,32,289,0x121
4,33,291,0x123
4,34,290,0x122
4,35,290,0x122
4,36,290,0x122
4,37,290,0x122
4,38,290,0x122
4,39,290,0x122
4,40,290,0x122
4,41,291,0x123
4,42,291,0x123
4,43,290,0x122
4,44,291,0x123
4,45,290,0x122
4,46,290,0x122
4,47,290,0x122
4,48,290,0x122
4,49,290,0x122
4,50,427,0x1ab
4,51,289,0x121
4,52,290,0x122
4,53,290,0x122
4,54,291,0x123
4,55,290,0x122
4,56,291,0x123
4,57,291,0x123
4,58,289,0x121
4,59,289,0x121
4,60,290,0x122
4,61,290,0x122
4,62,291,0x123
4,63,291,0x123
5,0,289,0x121
5,1,289,0x121
5,2,291,0x123
5,3,289,0x121
5,4,288,0x120
5,5,289,0x121
5,6,289,0x121
5,7,290,0x122
5,8,289,0x121
5,9,289,0x121
5,10,289,0x121
5,11,288,0x120
5,12,289,0x121
5,13,290,0x122
5,14,289,0x121
5,15,289,0x121
5,16,289,0x121
5,17,290,0x122
5,18,289,0x121
5,19,289,0x121
5,20,289,0x121
5,21,290,0x122
5,22,290,0x122
5,23,290,0x122
5,24,289,0x121
5,25,290,0x122
5,26,289,0x121
5,27,289,0x121
5,28,290,0x122
5,29,290,0x122
5,30,289,0x121
5,31,289,0x121
5,32,290,0x122
5,33,290,0x122
5,34,289,0x121
5,35,289,0x121
5,36,289,0x121
5,37,290,0x122
5,38,289,0x121
5,39,290,0x122
5,40,289,0x121
5,41,289,0x121
5,42,290,0x122
5,43,290,0x122
5,44,290,0x122
5,45,290,0x122
5,46,290,0x122
5,47,290,0x122
5,48,289,0x121
5,49,290,0x122
5,50,290,0x122
5,51,288,0x120
5,52,289,0x121
5,53,289,0x121
5,54,288,0x120
5,55,289,0x121
5,56,290,0x122
5,57,289,0x121
5,58,288,0x120
5,59,288,0x120
5,60,289,0x121
5,61,290,0x122
5,62,290,0x122
5,63,289,0x121
6,0,290,0x122
6,1,290,0x122
6,2,289,0x121
6,3,289,0x121
6,4,288,0x120
6,5,290,0x122
6,6,290,0x122
6,7,289,0x121
6,8,289,0x121
6,9,289,0x121
6,10,289,0x121
6,11,288,0x120
6,12,289,0x121
6,13,289,0x121
6,14,289,0x121
6,15,291,0x123
6,16,290,0x122
6,17,290,0x122
6,18,290,0x122
6,19,289,0x121
6,20,290,0x122
6,21,289,0x121
6,22,290,0x122
6,23,291,0x123
6,24,289,0x121
6,25,289,0x121
6,26,289,0x121
6,27,290,0x122
6,28,289,0x121
6,29,290,0x122
6,30,290,0x122
6,31,289,0x121
6,32,289,0x121
6,33,290,0x122
6,34,290,0x122
6,35,290,0x122
6,36,290,0x122
6,37,290,0x122
6,38,290,0x122
6,39,290,0x122
6,40,289,0x121
6,41,290,0x122
6,42,290,0x122
6,43,290,0x122
6,44,290,0x122
6,45,291,0x123
6,46,290,0x122
6,47,290,0x122
6,48,289,0x121
6,49,290,0x122
6,50,291,0x123
6,51,290,0x122
6,52,289,0x121
6,53,289,0x121
6,54,289,0x121
6,55,289,0x121
6,56,288,0x120
6,57,289,0x121
6,58,290,0x122
6,59,289,0x121
6,60,289,0x121
6,61,289,0x121
6,62,290,0x122
6,63,291,0x123
7,0,290,0x122
7,1,290,0x122
7,2,289,0x121
7,3,291,0x123
7,4,290,0x122
7,5,290,0x122
7,6,289,0x121
7,7,291,0x123
7,8,290,0x122
7,9,290,0x122
7,10,291,0x123
7,11,291,0x123
7,12,290,0x122
7,13,290,0x122
7,14,291,0x123
7,15,290,0x122
7,16,291,0x123
7,17,291,0x123
7,18,291,0x123
7,19,290,0x122
7,20,290,0x122
7,21,290,0x122
7,22,292,0x124
7,23,291,0x123
7,24,290,0x122
7,25,291,0x123
7,26,290,0x122
7,27,290,0x122
7,28,289,0x121
7,29,291,0x123
7,30,290,0x122
7,31,290,0x122
7,32,290,0x122
7,33,290,0x122
7,34,290,0x122
7,35,290,0x122
7,36,290,0x122
7,37,291,0x123
7,38,290,0x122
7,39,290,0x122
7,40,291,0x123
7,41,291,0x123
7,42,290,0x122
7,43,290,0x122
7,44,290,0x122
7,45,291,0x123
7,46,290,0x122
7,47,290,0x122
